BehaviorSpace results (NetLogo 7.0.3),Table version 2.0,,,,,,
Wolf_Sheep_Predation_simpler.nlogox,,,,,,,
experiment_100_100,,,,,,,
07/31/2026 16:03:50:229 -0300,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,
-25,25,-25,25,,,,
[run number],sheep-reproduce,wolf-reproduce,grass-regrowth-time,[step],land_with_grass,count sheep,count wolves
287,8,6,150,1500,42.32987312572088,56,0
288,8,6,150,1500,55.440215301806994,59,0
289,8,6,175,1500,40.79200308,27,0
297,8,6,225,219,59.900038446751246,0,0
295,8,6,225,847,34.71741637831603,0,0
300,8,6,250,227,60.59207997,0,0
292,8,6,200,1500,21.568627450980394,16,0
303,8,8,150,158,71.12648981161092,0,0
298,8,6,250,547,17.262591311034218,0,0
293,8,6,200,1500,25.10572856593618,14,0
307,8,8,200,172,63.01422529796232,0,0
305,8,8,175,486,42.945021145713184,0,0
309,8,8,200,197,60.361399461745485,0,0
304,8,8,175,1049,26.105344098423682,0,0
308,8,8,200,727,24.644367550941947,0,0
311,8,8,225,144,48.05843906189927,0,0
299,8,6,250,1500,45.86697424067666,23,0
313,8,8,250,109,38.600538254517495,0,0
312,8,8,225,177,58.093041138023835,0,0
301,8,8,150,1500,47.82775855440215,34,0
315,8,8,250,73,42.445213379469436,0,0
310,8,8,225,540,55.63244906,0,0
302,8,8,150,1500,50.63437139561707,63,0
318,8,10,150,120,59.24644367550942,0,0
306,8,8,175,1500,59.47712418300654,49,0
321,8,10,175,186,81.04575163398692,0,0
314,8,8,250,616,30.565167243367934,0,0
323,8,10,200,506,33.833141099577084,0,0
325,8,10,225,119,45.48250672818147,0,0
322,8,10,200,1056,28.95040369088812,0,0
326,8,10,225,542,36.332179930795846,0,0
316,8,10,150,1500,31.103421760861206,65,0
320,8,10,175,1500,66.82045367166475,29,0
319,8,10,175,1500,39.023452518262204,21,0
317,8,10,150,1500,69.01191849288735,17,0
329,8,10,250,132,48.44290657439446,0,0
331,8,12,150,149,63.12956555171088,0,0
333,8,12,150,107,57.477893118031524,0,0
327,8,10,225,495,23.64475201845444,0,0
334,8,12,175,153,58.169934640522875,0,0
337,8,12,200,88,48.78892733564014,0,0
324,8,10,200,1500,21.953094963475586,19,0
