"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Wolf_Sheep_Predation_simpler.nlogox"
"experiment_100_100"
"08/13/2026 17:44:39:473 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","wolf-reproduce","sheep-reproduce","grass-regrowth-time","[step]","land_with_grass","count sheep","count wolves"
"232","6","16","200","591","13.456362937331795","0","0"
"240","6","16","250","73","37.79315647827759","0","0"
"238","6","16","250","174","53.97923875432526","0","0"
"239","6","16","250","144","43.90618992695117","0","0"
"244","6","18","175","67","40.330642060745866","0","0"
"213","6","14","150","1500","18.30065359477124","15","0"
"242","6","18","150","314","15.916955017301039","0","0"
"247","6","18","200","110","39.946174548250674","0","0"
"245","6","18","175","337","6.843521722414456","0","0"
"248","6","18","200","95","46.48212226066897","0","0"
"249","6","18","200","172","50.0961168781238","0","0"
"246","6","18","175","386","37.40868896578239","0","0"
"250","6","18","225","153","49.86543637062668","0","0"
"229","6","16","175","1500","28.9119569396386","155","0"
"253","6","18","250","63","32.333717800845825","0","0"
"251","6","18","225","150","45.059592464436754","0","0"
"252","6","18","225","95","39.638600538254515","0","0"
"254","6","18","250","107","41.906958861976165","0","0"
"256","6","20","150","91","44.7520184544406","0","0"
"257","6","20","150","93","53.24875048058439","0","0"
"258","6","20","150","76","39.29257977700884","0","0"
"259","6","20","175","90","37.63936947327951","0","0"
"260","6","20","175","95","44.82891195693964","0","0"
"261","6","20","175","72","38.75432525951557","0","0"
"262","6","20","200","92","39.17723952326028","0","0"
"263","6","20","200","108","40.86889657823914","0","0"
"266","6","20","225","72","39.10034602076124","0","0"
"255","6","18","250","442","11.07266435986159","0","0"
"265","6","20","225","140","46.82814302191465","0","0"
"264","6","20","200","201","59.13110342176086","0","0"
"243","6","18","150","1237","14.53287197231834","0","0"
"268","6","20","250","90","39.52326028450596","0","0"
"270","6","20","250","88","37.13956170703575","0","0"
"269","6","20","250","126","45.213379469434834","0","0"
"267","6","20","225","157","45.828527489427145","0","0"
"241","6","18","150","1500","49.25028835063437","113","0"
"1","4","4","150","1500","44.3675509419454","29","0"
"277","8","4","200","172","63.55247981545559","0","0"
